id,intent,user_input,bot_response,timestamp,confidence_score,conversation_id
27,greeting,hey,Hey!,2024-12-11T05:24:50.628383,0.97,1009
28,order_status,I need update on order #56710,Order #56710 is currently in transit. Should arrive next week.,2024-12-13T16:26:28.628383,0.88,1009
29,payment_issue,Issue paying service,"To resolve payment for service, try check card details. If needed, try again in 1 hour.",2024-12-03T10:07:48.628383,0.81,1009
30,goodbye,bye bye,Bye bye!,2024-12-01T15:30:12.628383,0.98,1009
31,order_status,I need update on order #19705,Order #19705 is currently shipped. Should arrive tomorrow.,2024-12-09T01:33:54.628383,0.84,1009
32,greeting,hii,Hey there!,2024-12-15T17:31:12.628383,0.98,1010
33,technical_support,Help with update,"To fix update, try: check settings. If that doesn't work, reset to defaults.",2024-12-21T13:47:40.628383,0.84,1010
34,goodbye,peace out,Goodbye!,2024-12-18T05:21:13.628383,0.95,1010
35,greeting,hey there,Hey! What's up?,2024-12-12T20:02:19.628383,0.95,1011
36,order_status,Order #77581 status please,Order #77581 is currently out for delivery. Should arrive tomorrow.,2024-12-21T08:47:49.628383,0.8,1011
37,order_status,Where is my order #20140?,I've checked order #20140. Status: processing. Expected arrival: tomorrow.,2024-11-25T23:59:15.628383,0.94,1011
38,greeting,hi there,Hi! How can I help?,2024-12-05T02:26:04.628383,0.98,1012
39,payment_issue,Payment error subscription,"I'll help with your subscription payment. First try another payment method, then try again in 1 hour.",2024-12-17T03:31:02.628383,0.87,1012
40,greeting,yo,Hello there!,2024-11-27T03:21:07.628383,0.95,1013
41,goodbye,ttyl,"Goodbye, take care!",2024-11-29T19:22:36.628383,0.99,1013
42,greeting,hi there,Hello there!,2024-12-09T07:58:47.628383,0.95,1014
43,payment_issue,Issue paying subscription,"To resolve payment for subscription, try verify billing address. If needed, clear browser cache.",2024-11-23T22:08:16.628383,0.94,1014
44,payment_issue,Can't pay for purchase,"To resolve payment for purchase, try verify billing address. If needed, clear browser cache.",2024-11-30T15:32:06.628383,0.83,1014
45,greeting,sup,Hi! How can I help?,2024-12-15T08:35:58.628383,0.95,1015
46,payment_issue,Problem paying order,"To resolve payment for order, try try another payment method. If needed, contact your bank.",2024-11-25T21:56:48.628383,0.9,1015
47,greeting,hello!,Hi!,2024-11-25T06:07:04.628383,0.97,1016
48,payment_issue,Payment error subscription,"For the payment issue with subscription, please check card details. Then contact your bank.",2024-12-09T01:02:37.628383,0.76,1016
49,technical_support,How to fix update,"I can help with update. Start by update software, followed by contact support.",2024-12-02T01:33:10.628383,0.91,1016
50,greeting,afternoon,Hey!,2024-12-20T23:24:31.628383,0.97,1017
51,product_inquiry,Do you have headphones in stock?,We have headphones. It costs $805 and comes with free shipping.,2024-12-15T17:40:11.628383,0.85,1017
52,technical_support,Problem with app,"I can help with app. Start by check settings, followed by try safe mode.",2024-11-25T02:14:15.628383,0.93,1017
53,greeting,howdy,Hi! How can I help?,2024-12-09T21:01:28.628383,0.97,1018
54,product_inquiry,I'm looking for iPhone,We have iPhone. It costs $691 and comes with gift wrapping.,2024-12-09T16:47:34.628383,0.75,1018
55,greeting,sup,Hey! What's up?,2024-12-07T17:23:26.628383,0.95,1019
56,order_status,Order #51433 status please,I've checked order #51433. Status: in transit. Expected arrival: by end of week.,2024-12-09T21:50:18.628383,0.94,1019
57,greeting,greetings,Hey!,2024-12-17T16:30:08.628383,0.98,1020
58,goodbye,bye,Have a good one!,2024-12-06T17:41:52.628383,0.96,1020
59,product_inquiry,Price of camera?,"Yes, camera is in stock. The price is $438 and gift wrapping.",2024-12-11T14:28:56.628383,0.83,1020
60,greeting,sup,Hey! What's up?,2024-12-12T18:03:19.628383,0.98,1021
61,product_inquiry,I'm looking for laptop,laptop is available. Priced at $306 with 1-year warranty.,2024-12-09T13:57:09.628383,0.85,1021
62,technical_support,Help with login,"For login issues: First check settings, then contact support.",2024-12-13T14:45:47.628383,0.75,1021
63,greeting,heyy,Hello! What brings you here?,2024-12-05T12:26:49.628383,0.97,1022
64,product_inquiry,I'm looking for tablet,We have tablet. It costs $451 and comes with gift wrapping.,2024-11-30T20:54:56.628383,0.76,1022
65,payment_issue,Payment failed for subscription,"For the payment issue with subscription, please try another payment method. Then try again in 1 hour.",2024-12-03T06:38:10.628383,0.77,1022
66,goodbye,byee,Take care!,2024-11-24T03:06:46.628383,0.96,1022
67,greeting,heyy,Hello! How may I help you?,2024-11-24T06:06:58.628383,0.98,1023
68,technical_support,Help with wifi,"I can help with wifi. Start by check settings, followed by contact support.",2024-12-01T21:24:03.628383,0.78,1023
69,order_status,Where is my order #23834?,Order #23834 is currently in transit. Should arrive tomorrow.,2024-12-15T13:29:17.628383,0.86,1023
70,product_inquiry,I'm looking for laptop,We have laptop. It costs $305 and comes with free shipping.,2024-12-12T15:58:57.628383,0.84,1023
71,greeting,howdy,Hello there!,2024-12-04T09:18:50.628383,0.96,1023
72,greeting,morning,Hey there!,2024-12-12T20:08:16.628383,0.99,1024
73,technical_support,Help with app,"I can help with app. Start by update software, followed by reset to defaults.",2024-12-17T07:33:30.628383,0.81,1024
74,payment_issue,Can't pay for order,"To resolve payment for order, try try another payment method. If needed, clear browser cache.",2024-12-09T21:20:07.628383,0.83,1024
75,greeting,hey there,Hey! What's up?,2024-12-19T00:30:55.628383,0.96,1025
76,technical_support,How to fix app,"I can help with app. Start by check settings, followed by try safe mode.",2024-12-03T13:57:46.628383,0.91,1025
77,technical_support,Problem with wifi,"For wifi issues: First restart the device, then reset to defaults.",2024-12-08T10:42:35.628383,0.78,1025
78,technical_support,Issue with app,"To fix app, try: clear cache. If that doesn't work, try safe mode.",2024-12-01T17:27:23.628383,0.93,1025
79,greeting,evening,Hey! How can I assist you?,2024-12-10T07:02:39.628383,0.99,1026
80,technical_support,How to fix wifi,"To fix wifi, try: update software. If that doesn't work, contact support.",2024-12-12T15:14:17.628383,0.94,1026
81,greeting,heya,Hey! How can I assist you?,2024-12-14T19:34:05.628383,0.96,1027
82,product_inquiry,Information about iPhone,We have iPhone. It costs $228 and comes with 1-year warranty.,2024-12-18T18:43:05.628383,0.84,1027
83,greeting,heyy,Hi there!,2024-12-12T17:33:40.628383,0.98,1027
84,greeting,hello,Hi there!,2024-12-01T18:24:54.628383,0.97,1028
85,order_status,Order #40236 status please,I've checked order #40236. Status: processing. Expected arrival: tomorrow.,2024-12-13T14:09:36.628383,0.89,1028
86,greeting,hi,Hi!,2024-12-18T09:09:37.628383,0.99,1029
87,order_status,Order #77581 status please,Your order #77581 is in transit. Estimated delivery: in 2 days.,2024-12-19T18:56:50.628383,0.8,1029
88,greeting,hiya,Hey! How can I assist you?,2024-12-11T15:08:07.628383,0.97,1030
89,order_status,Can you check status of order #92827,Order #92827 is currently out for delivery. Should arrive next week.,2024-12-17T16:48:19.628383,0.85,1030
90,product_inquiry,Tell me about smartwatch,"Yes, smartwatch is in stock. The price is $942 and free shipping.",2024-11-24T02:27:36.628383,0.94,1030
91,payment_issue,Payment failed for order,"I'll help with your order payment. First verify billing address, then contact your bank.",2024-12-06T15:58:47.628383,0.87,1030
92,greeting,greetings,Hey! What's up?,2024-12-15T14:57:43.628383,0.97,1030
93,greeting,hello hello,Hello there!,2024-11-25T16:36:11.628383,0.96,1031
94,goodbye,catch you later,"Take care, bye!",2024-12-12T11:43:02.628383,0.93,1031
95,order_status,Track order #57782,I've checked order #57782. Status: out for delivery. Expected arrival: tomorrow.,2024-11-25T13:37:51.628383,0.82,1031
96,greeting,hiya,Hey! How can I assist you?,2024-12-03T19:13:51.628383,0.99,1032
97,payment_issue,Can't pay for purchase,"I'll help with your purchase payment. First try another payment method, then contact your bank.",2024-12-10T02:14:38.628383,0.86,1032
98,technical_support,Help with app,"For app issues: First restart the device, then contact support.",2024-12-21T23:33:30.628383,0.76,1032
99,technical_support,bluetooth not working,"I can help with bluetooth. Start by update software, followed by contact support.",2024-12-02T18:37:11.628383,0.81,1032
100,greeting,hello,Hi! How can I help?,2024-11-27T21:26:00.628383,0.98,1033
101,product_inquiry,Information about headphones,headphones is available. Priced at $391 with 20% discount.,2024-12-09T08:51:29.628383,0.93,1033
102,greeting,hii,Hi! How can I help?,2024-11-28T09:37:43.628383,0.97,1034
103,technical_support,login not working,"For login issues: First restart the device, then reset to defaults.",2024-11-22T18:26:09.628383,0.82,1034
104,order_status,Track order #36751,Your order #36751 is in transit. Estimated delivery: tomorrow.,2024-11-27T22:42:49.628383,0.95,1034
105,greeting,hello!,Hello! How may I help you?,2024-12-11T20:09:48.628383,0.97,1034
106,order_status,I need update on order #17094,I've checked order #17094. Status: processing. Expected arrival: by end of week.,2024-11-22T22:04:25.628383,0.84,1034
107,greeting,howdy,Hi there! Need any help?,2024-11-25T18:34:48.628383,0.97,1035
108,product_inquiry,Tell me about laptop,We have laptop. It costs $467 and comes with gift wrapping.,2024-12-10T07:05:26.628383,0.77,1035
109,order_status,I need update on order #89882,I've checked order #89882. Status: out for delivery. Expected arrival: in 2 days.,2024-11-24T19:47:16.628383,0.89,1035
110,goodbye,good night,Bye for now!,2024-12-04T07:45:17.628383,0.97,1035
111,greeting,hey,Hi!,2024-11-25T23:09:51.628383,0.98,1036
112,greeting,heyy,Hey! How can I assist you?,2024-12-04T14:36:40.628383,0.97,1036
113,technical_support,Problem with login,"For login issues: First update software, then contact support.",2024-12-22T06:59:11.628383,0.83,1036
114,greeting,greetings,Hey! How can I assist you?,2024-11-23T06:45:50.628383,0.99,1037
115,goodbye,bye bye,Take care!,2024-11-30T06:14:36.628383,0.99,1037
116,order_status,Order #19705 status please,Your order #19705 is shipped. Estimated delivery: in 2 days.,2024-12-06T17:56:58.628383,0.88,1037
117,technical_support,How to fix app,"I can help with app. Start by restart the device, followed by contact support.",2024-11-26T10:46:31.628383,0.94,1037
118,goodbye,bye,Take care!,2024-11-29T11:12:38.628383,0.97,1037
119,greeting,hi!,Hello!,2024-12-13T23:59:02.628383,0.99,1038
120,payment_issue,Issue paying service,"For the payment issue with service, please verify billing address. Then clear browser cache.",2024-11-23T05:38:30.628383,0.93,1038
121,greeting,evening,Hey! What's up?,2024-12-08T01:02:59.628383,0.95,1039
122,payment_issue,Payment error purchase,"For the payment issue with purchase, please verify billing address. Then contact your bank.",2024-12-15T22:51:41.628383,0.79,1039
123,greeting,heyy,Hey there!,2024-12-01T01:08:21.628383,0.95,1040
124,payment_issue,Payment error service,"To resolve payment for service, try verify billing address. If needed, clear browser cache.",2024-12-09T11:16:27.628383,0.9,1040
125,greeting,sup,Hello!,2024-12-11T18:24:55.628383,0.98,1041
126,product_inquiry,I'm looking for headphones,We have headphones. It costs $600 and comes with free shipping.,2024-12-14T01:42:35.628383,0.94,1041
127,payment_issue,Problem paying service,"For the payment issue with service, please check card details. Then clear browser cache.",2024-12-18T18:35:09.628383,0.79,1041
128,goodbye,bye!,Take care!,2024-12-06T23:23:24.628383,0.98,1041
129,greeting,afternoon,Hello! What brings you here?,2024-12-14T00:27:23.628383,0.95,1042
130,product_inquiry,Do you have speaker in stock?,"Yes, speaker is in stock. The price is $930 and 20% discount.",2024-12-06T07:35:33.628383,0.88,1042
131,greeting,hi hi,Hey there!,2024-11-22T16:47:54.628383,0.97,1042
132,greeting,hiya,Hey! What's up?,2024-12-20T11:54:51.628383,0.99,1043
133,technical_support,wifi not working,"For wifi issues: First check settings, then try safe mode.",2024-12-06T01:46:56.628383,0.76,1043
134,greeting,morning,Hey! What's up?,2024-12-03T22:56:37.628383,0.99,1044
135,greeting,sup,Hello! What brings you here?,2024-12-21T13:45:46.628383,0.96,1044
136,product_inquiry,I'm looking for speaker,"Yes, speaker is in stock. The price is $312 and gift wrapping.",2024-12-15T08:16:11.628383,0.88,1044
137,greeting,hiya,Hello! What brings you here?,2024-12-03T09:37:29.628383,0.97,1045
138,goodbye,peace,Bye!,2024-12-16T23:02:21.628383,0.99,1045
139,payment_issue,Issue paying service,"To resolve payment for service, try verify billing address. If needed, contact your bank.",2024-12-21T16:12:02.628383,0.82,1045
140,order_status,I need update on order #61028,Your order #61028 is processing. Estimated delivery: by end of week.,2024-12-14T20:48:44.628383,0.78,1045
141,greeting,heya,Hello there!,2024-12-10T13:59:23.628383,0.96,1046
142,payment_issue,Problem paying purchase,"I'll help with your purchase payment. First verify billing address, then try again in 1 hour.",2024-12-07T04:25:30.628383,0.9,1046
143,payment_issue,Payment error order,"For the payment issue with order, please check card details. Then try again in 1 hour.",2024-12-02T03:34:48.628383,0.79,1046
144,goodbye,talk to you later,"Take care, bye!",2024-11-25T00:44:02.628383,0.98,1046
145,order_status,Where is my order #37724?,Your order #37724 is shipped. Estimated delivery: next week.,2024-12-10T00:05:49.628383,0.79,1046
146,greeting,hello hello,Hello!,2024-12-01T02:00:59.628383,0.97,1047
147,product_inquiry,I'm looking for laptop,"Yes, laptop is in stock. The price is $156 and free shipping.",2024-11-30T01:20:03.628383,0.91,1047
148,product_inquiry,Price of laptop?,We have laptop. It costs $260 and comes with free shipping.,2024-11-24T02:09:48.628383,0.82,1047
149,payment_issue,Can't pay for order,"I'll help with your order payment. First verify billing address, then try again in 1 hour.",2024-12-06T18:13:06.628383,0.81,1047
150,greeting,heya,Hi! How can I help?,2024-12-02T16:24:26.628383,0.95,1048
151,order_status,Order #42811 status please,I've checked order #42811. Status: shipped. Expected arrival: by end of week.,2024-12-13T05:32:18.628383,0.77,1048
152,greeting,howdy,Hello!,2024-11-26T13:26:42.628383,0.98,1049
153,technical_support,How to fix wifi,"To fix wifi, try: clear cache. If that doesn't work, reset to defaults.",2024-12-09T11:46:21.628383,0.88,1049
154,order_status,Track order #67511,Your order #67511 is in transit. Estimated delivery: in 2 days.,2024-12-07T02:18:22.628383,0.79,1049
155,greeting,hey there,Hey there!,2024-12-10T15:00:09.628383,0.98,1050
156,payment_issue,Can't pay for purchase,"I'll help with your purchase payment. First check card details, then contact your bank.",2024-12-06T03:46:09.628383,0.86,1050
157,technical_support,Problem with wifi,"To fix wifi, try: clear cache. If that doesn't work, contact support.",2024-12-11T20:06:17.628383,0.77,1050
158,goodbye,goodbye,Bye!,2024-11-25T15:14:46.628383,0.99,1050
159,greeting,hi!,Hi there! Need any help?,2024-11-23T03:06:00.628383,0.97,1051
160,order_status,Order #30388 status please,Order #30388 is currently processing. Should arrive in 2 days.,2024-12-16T08:30:50.628383,0.91,1051
161,greeting,morning,Hi!,2024-12-22T08:42:19.628383,0.98,1051
162,goodbye,see ya,See you!,2024-12-15T05:53:49.628383,0.99,1051
163,greeting,afternoon,Hey! What's up?,2024-12-07T13:40:53.628383,0.98,1052
164,product_inquiry,I'm looking for mouse,We have mouse. It costs $576 and comes with free shipping.,2024-12-13T03:24:42.628383,0.82,1052
165,greeting,hi there,Hello there!,2024-12-09T19:47:37.628383,0.97,1052
166,greeting,heyy,Hey! What's up?,2024-12-02T05:02:33.628383,0.95,1053
167,payment_issue,Can't pay for subscription,"I'll help with your subscription payment. First verify billing address, then try again in 1 hour.",2024-12-14T16:21:22.628383,0.75,1053
168,product_inquiry,Information about iPhone,"Yes, iPhone is in stock. The price is $236 and 1-year warranty.",2024-12-15T10:59:06.628383,0.77,1053
169,goodbye,ok bye,"Take care, bye!",2024-12-03T21:54:57.628383,0.96,1053
170,goodbye,peace out,Have a good one!,2024-12-09T02:32:13.628383,0.98,1053
171,greeting,heya,Hi there! Need any help?,2024-12-19T18:57:20.628383,0.97,1054
172,payment_issue,Payment failed for order,"For the payment issue with order, please verify billing address. Then clear browser cache.",2024-12-14T17:06:50.628383,0.79,1054
173,product_inquiry,Tell me about smartwatch,"Yes, smartwatch is in stock. The price is $845 and free shipping.",2024-12-11T16:51:06.628383,0.92,1054
174,goodbye,ttyl,Have a good one!,2024-12-11T15:49:26.628383,0.98,1054
175,payment_issue,Payment error service,"To resolve payment for service, try check card details. If needed, clear browser cache.",2024-12-13T12:03:17.628383,0.94,1054
176,greeting,howdy,Hey!,2024-12-13T07:34:14.628383,0.99,1055
177,product_inquiry,Tell me about monitor,We have monitor. It costs $740 and comes with 1-year warranty.,2024-11-27T21:39:02.628383,0.86,1055
178,greeting,afternoon,Hello there!,2024-12-16T12:07:55.628383,0.95,1056
179,payment_issue,Problem paying order,"I'll help with your order payment. First try another payment method, then try again in 1 hour.",2024-12-19T12:08:20.628383,0.94,1056
180,technical_support,How to fix wifi,"To fix wifi, try: check settings. If that doesn't work, reset to defaults.",2024-12-19T00:16:46.628383,0.82,1056
181,greeting,hey,Hello there!,2024-11-26T15:41:22.628383,0.96,1057
182,goodbye,ok bye,Bye!,2024-12-13T08:57:29.628383,0.96,1057
183,greeting,yo,Hi there! Need any help?,2024-12-07T01:23:07.628383,0.95,1058
184,order_status,I need update on order #57782,I've checked order #57782. Status: in transit. Expected arrival: in 2 days.,2024-12-07T21:25:06.628383,0.95,1058
185,order_status,Track order #98371,Order #98371 is currently out for delivery. Should arrive next week.,2024-12-01T05:39:10.628383,0.94,1058
186,greeting,hey there,Hey!,2024-12-04T20:32:35.628383,0.95,1059
187,order_status,Track order #26708,Your order #26708 is in transit. Estimated delivery: in 2 days.,2024-12-12T16:33:28.628383,0.91,1059
188,greeting,hello,Hello! How may I help you?,2024-12-08T08:50:05.628383,0.98,1060
189,order_status,Where is my order #79066?,Order #79066 is currently out for delivery. Should arrive in 2 days.,2024-12-20T19:33:27.628383,0.94,1060
190,order_status,Order #57320 status please,I've checked order #57320. Status: processing. Expected arrival: next week.,2024-12-10T04:24:53.628383,0.77,1060
191,greeting,hi there,Hello! What brings you here?,2024-12-17T17:20:50.628383,0.98,1061
192,technical_support,Problem with update,"I can help with update. Start by restart the device, followed by contact support.",2024-11-25T14:50:46.628383,0.81,1061
193,payment_issue,Payment failed for subscription,"For the payment issue with subscription, please try another payment method. Then clear browser cache.",2024-12-11T11:42:40.628383,0.79,1061
194,technical_support,Help with wifi,"I can help with wifi. Start by restart the device, followed by contact support.",2024-11-22T19:45:48.628383,0.82,1061
195,goodbye,take care,See you!,2024-12-16T12:56:14.628383,0.97,1061
196,greeting,hiya,Hello! How may I help you?,2024-12-15T19:18:20.628383,0.98,1062
197,order_status,I need update on order #38732,Your order #38732 is in transit. Estimated delivery: next week.,2024-11-26T02:34:38.628383,0.75,1062
198,greeting,afternoon,Hi there! Need any help?,2024-11-24T09:22:12.628383,0.98,1062
199,goodbye,bye!,Bye!,2024-12-06T21:45:43.628383,0.96,1062
200,product_inquiry,Tell me about headphones,We have headphones. It costs $804 and comes with free shipping.,2024-11-29T17:36:19.628383,0.85,1062
201,greeting,hiya,Hi there! Need any help?,2024-12-19T04:53:41.628383,0.95,1063
202,product_inquiry,I'm looking for iPhone,iPhone is available. Priced at $231 with 1-year warranty.,2024-11-23T07:35:56.628383,0.86,1063
203,payment_issue,Payment error purchase,"To resolve payment for purchase, try verify billing address. If needed, clear browser cache.",2024-11-25T07:18:53.628383,0.8,1063
204,greeting,hello!,Hello! What brings you here?,2024-12-22T02:27:21.628383,0.97,1064
205,technical_support,How to fix update,"For update issues: First check settings, then try safe mode.",2024-11-27T08:16:25.628383,0.76,1064
206,payment_issue,Can't pay for order,"I'll help with your order payment. First try another payment method, then clear browser cache.",2024-12-20T06:53:44.628383,0.82,1064
207,product_inquiry,Do you have laptop in stock?,"Yes, laptop is in stock. The price is $676 and 1-year warranty.",2024-12-22T08:39:07.628383,0.9,1064
208,greeting,morning,Hi there! Need any help?,2024-12-07T15:33:12.628383,0.95,1065
209,order_status,Order #95496 status please,I've checked order #95496. Status: processing. Expected arrival: tomorrow.,2024-11-28T20:09:54.628383,0.76,1065
210,product_inquiry,Do you have headphones in stock?,We have headphones. It costs $343 and comes with gift wrapping.,2024-11-24T08:08:53.628383,0.83,1065
211,greeting,howdy,Hello there!,2024-12-15T05:59:12.628383,0.97,1066
212,payment_issue,Can't pay for subscription,"To resolve payment for subscription, try verify billing address. If needed, contact your bank.",2024-11-29T10:14:58.628383,0.86,1066
213,order_status,Can you check status of order #76719,Your order #76719 is out for delivery. Estimated delivery: tomorrow.,2024-12-01T13:23:09.628383,0.92,1066
214,greeting,hi there,Hi there! Need any help?,2024-12-15T17:53:13.628383,0.95,1067
215,technical_support,Issue with update,"To fix update, try: update software. If that doesn't work, try safe mode.",2024-11-23T20:51:11.628383,0.84,1067
216,order_status,Can you check status of order #75427,I've checked order #75427. Status: shipped. Expected arrival: in 2 days.,2024-11-24T09:21:50.628383,0.8,1067
217,greeting,sup,Hello! What brings you here?,2024-12-15T17:54:13.628383,0.98,1068
218,order_status,Order #48189 status please,I've checked order #48189. Status: processing. Expected arrival: by end of week.,2024-11-23T10:44:22.628383,0.79,1068
219,greeting,hii,Hello!,2024-12-16T01:55:48.628383,0.97,1069
220,product_inquiry,Do you have keyboard in stock?,"Yes, keyboard is in stock. The price is $844 and free shipping.",2024-11-25T20:08:40.628383,0.81,1069
221,technical_support,Problem with wifi,"I can help with wifi. Start by restart the device, followed by contact support.",2024-12-15T21:15:24.628383,0.78,1069
222,goodbye,night,"Take care, bye!",2024-12-12T19:58:12.628383,0.98,1069
223,greeting,hi!,Hey! How can I assist you?,2024-12-10T14:44:00.628383,0.99,1070
224,order_status,Where is my order #10893?,I've checked order #10893. Status: in transit. Expected arrival: tomorrow.,2024-12-02T21:50:15.628383,0.93,1070
225,technical_support,How to fix update,"For update issues: First update software, then reset to defaults.",2024-12-04T02:07:45.628383,0.86,1070
226,greeting,hello!,Hey! What's up?,2024-11-28T17:11:24.628383,0.95,1071
227,technical_support,app not working,"For app issues: First clear cache, then contact support.",2024-11-28T01:48:26.628383,0.87,1071
228,product_inquiry,Do you have keyboard in stock?,keyboard is available. Priced at $874 with free shipping.,2024-11-28T12:42:05.628383,0.79,1071
229,greeting,hi!,Hi! How can I help?,2024-11-29T02:04:41.628383,0.96,1072
230,order_status,Order #54409 status please,I've checked order #54409. Status: out for delivery. Expected arrival: next week.,2024-12-11T17:11:54.628383,0.86,1072
231,payment_issue,Payment error service,"For the payment issue with service, please verify billing address. Then clear browser cache.",2024-11-25T22:03:21.628383,0.95,1072
232,greeting,heya,Hello! How may I help you?,2024-11-27T04:17:51.628383,0.98,1073
233,technical_support,Help with app,"For app issues: First check settings, then try safe mode.",2024-12-19T04:34:50.628383,0.86,1073
234,payment_issue,Payment error subscription,"For the payment issue with subscription, please verify billing address. Then clear browser cache.",2024-11-22T22:21:13.628383,0.94,1073
235,order_status,Order #39848 status please,I've checked order #39848. Status: shipped. Expected arrival: next week.,2024-11-25T01:18:51.628383,0.89,1073
236,greeting,hey there,Hey!,2024-12-11T04:57:48.628383,0.97,1074
237,goodbye,peace out,Have a good one!,2024-12-02T03:15:13.628383,0.97,1074
238,order_status,I need update on order #60940,Order #60940 is currently processing. Should arrive in 2 days.,2024-11-23T09:57:40.628383,0.94,1074
239,goodbye,bye,Take care!,2024-12-05T16:21:04.628383,0.98,1074
240,goodbye,ok bye,"Thanks, bye!",2024-12-05T16:19:57.628383,0.98,1074
241,greeting,greetings,Hi there! Need any help?,2024-12-07T05:52:57.628383,0.99,1075
242,order_status,Can you check status of order #28643,I've checked order #28643. Status: shipped. Expected arrival: tomorrow.,2024-12-14T20:50:32.628383,0.77,1075
243,greeting,greetings,Hello! How may I help you?,2024-12-06T08:37:51.628383,0.98,1076
244,technical_support,How to fix update,"I can help with update. Start by update software, followed by contact support.",2024-11-26T09:10:48.628383,0.8,1076
245,payment_issue,Problem paying service,"To resolve payment for service, try try another payment method. If needed, try again in 1 hour.",2024-11-27T05:29:29.628383,0.76,1076
246,greeting,hello!,Hey!,2024-12-02T17:35:02.628383,0.98,1077
247,goodbye,take care,See you later!,2024-11-25T02:43:32.628383,0.98,1077
248,product_inquiry,Tell me about iPhone,iPhone is available. Priced at $420 with 20% discount.,2024-12-02T19:48:08.628383,0.92,1077
249,greeting,hi hi,Hello!,2024-12-01T18:26:30.628383,0.97,1078
250,order_status,Order #53110 status please,Order #53110 is currently out for delivery. Should arrive by end of week.,2024-12-01T10:09:27.628383,0.91,1078
251,greeting,yo,Hello there!,2024-12-04T18:11:56.628383,0.99,1079
252,product_inquiry,Tell me about smartwatch,We have smartwatch. It costs $169 and comes with 1-year warranty.,2024-12-12T22:17:32.628383,0.76,1079
253,payment_issue,Can't pay for subscription,"To resolve payment for subscription, try try another payment method. If needed, contact your bank.",2024-11-26T08:05:49.628383,0.83,1079
254,payment_issue,Can't pay for order,"For the payment issue with order, please try another payment method. Then contact your bank.",2024-11-26T13:08:19.628383,0.8,1079
255,greeting,hii,Hi!,2024-12-15T14:04:50.628383,0.97,1080
256,technical_support,Help with update,"For update issues: First check settings, then contact support.",2024-11-25T12:50:30.628383,0.91,1080
257,greeting,afternoon,Hey there!,2024-12-19T04:18:34.628383,0.98,1081
258,technical_support,Problem with wifi,"For wifi issues: First update software, then reset to defaults.",2024-12-13T08:00:18.628383,0.88,1081
259,greeting,sup,Hi!,2024-12-08T13:05:53.628383,0.98,1082
